Track,Preference,brightness_centroid,percussiveness_zcr,tempo_bpm,rms_variance,peak_to_trough_ratio,energy_gradient,chroma_variance,melody_to_drum_ratio
Nindiya Re ｜ Kaavish ｜ Season 4 ｜ Coke Studio Pakistan ｜ @RohailHyattMusic,Liked,1449.6399993454477,0.05098952973740377,172.265625,0.005259757861495018,5.502659797668457,0.0074063921347260475,0.01790250651538372,16.200666423447217
Nitin Sawhney performing ＂Sunset＂ on KCRW,Liked,1379.6468673061242,0.05515844131097561,107.666015625,0.0012815300142392516,3.9693336486816406,0.006093646865338087,0.018745986744761467,6.2795500777607485
Oh Wonder - All We Do,Liked,1245.9623611137793,0.06086250785347465,129.19921875,0.0070335580967366695,6.0742106437683105,0.010606447234749794,0.019939100369811058,5.957033070825569
Oh Wonder - Lonely Star (Audio),Liked,845.0714183633974,0.03313345866945282,86.1328125,0.016973672434687614,14.486906051635742,0.026269301772117615,0.00717181945219636,2.9563918023120794
SomeWhatSuper & Laqeer Ke Faqeer - Mithu Donda (Lyrical Video),Liked,2070.249397800544,0.09768470373916495,117.45383522727273,0.010143512859940529,4.797526836395264,0.012740643694996834,0.01838063634932041,4.520603845536625
Soneya (Official Music Video) - Asim Azhar,Liked,2206.898859133837,0.08046440655760116,89.10290948275862,0.010510466061532497,4.182494163513184,0.017537161707878113,0.007928541861474514,2.4098343383367533
TERI JUSTAJOO - - FULL SONG,Liked,1834.5135179527674,0.06743100054835933,135.99917763157896,0.0077095916494727135,5.082304954528809,0.01189516857266426,0.012772231362760067,6.046814691644095
Thom Yorke - Suspirium,Liked,976.9504733442303,0.05518572324715288,151.99908088235293,0.005295862443745136,4.447416305541992,0.007747285068035126,0.01554418820887804,31.265046243121862
Traces Of You,Liked,1546.2991604246042,0.07126947701326751,143.5546875,0.004916582256555557,3.2436280250549316,0.011652644723653793,0.03030809946358204,7.235839373436493
Wangden Sherpa - Tadha Tadha (ft. Prajina) [Official Video],Liked,1400.1047295059923,0.04252520161290323,129.19921875,0.009608321823179722,25.085220336914062,0.014176393859088421,0.014585928060114384,3.9304704008983133
